chromosome	position	strand	gene_type	gene_name	gene_pos	unconverted	converted	ratio
.	.	+	rRNA	rRNA-RNA28SN1	886	72	4790	0.014808721
.	.	+	rRNA	rRNA-RNA28SN1	889	118	7085	0.016382063
.	.	+	rRNA	rRNA-RNA28SN1	990	88	7536	0.011542497
.	.	+	rRNA	rRNA-RNA28SN1	1071	25	2397	0.010322048
.	.	+	rRNA	rRNA-RNA28SN1	1137	31	2795	0.010969568
.	.	+	rRNA	rRNA-RNA28SN1	1160	9	257	0.033834586
.	.	+	rRNA	rRNA-RNA28SN1	1231	101	4627	0.021362098
.	.	+	rRNA	rRNA-RNA28SN1	1666	138	15351	0.008909549
.	.	+	rRNA	rRNA-RNA28SN1	2365	242	43302	0.005557597
.	.	+	rRNA	rRNA-RNA28SN1	2926	107	2204	0.046300303
.	.	+	rRNA	rRNA-RNA28SN1	3218	27	790	0.033047736
.	.	+	rRNA	rRNA-RNA28SN1	3389	12	540	0.02173913
.	.	+	rRNA	rRNA-RNA28SN1	3779	4924	184	0.963978074
.	.	+	rRNA	rRNA-RNA28SN1	4030	1252	10992	0.102254165
.	.	+	rRNA	rRNA-RNA28SN1	4444	4322	237	0.948014916
.	.	+	tRNA	tRNA-Ala-AGC-2-1	48	4	6	0.4
.	.	+	tRNA	tRNA-Ala-TGC-6-1	48	4	6	0.4
.	.	+	tRNA	tRNA-Asp-GTC-1-1	38	6	6	0.5
.	.	+	tRNA	tRNA-Asp-GTC-1-1	48	27	7	0.794117647
.	.	+	tRNA	tRNA-Asp-GTC-2-1	38	61	12	0.835616438
.	.	+	tRNA	tRNA-Asp-GTC-2-1	47	215	51	0.808270677
.	.	+	tRNA	tRNA-Asp-GTC-2-1	48	236	33	0.87732342
.	.	+	tRNA	tRNA-Asp-GTC-2-10	38	48	13	0.786885246
.	.	+	tRNA	tRNA-Asp-GTC-2-10	47	203	36	0.849372385
.	.	+	tRNA	tRNA-Asp-GTC-2-10	48	207	34	0.858921162
.	.	+	tRNA	tRNA-Asp-GTC-2-11	38	51	8	0.86440678
.	.	+	tRNA	tRNA-Asp-GTC-2-11	47	198	33	0.857142857
.	.	+	tRNA	tRNA-Asp-GTC-2-11	48	205	27	0.88362069
.	.	+	tRNA	tRNA-Asp-GTC-2-2	38	55	15	0.785714286
.	.	+	tRNA	tRNA-Asp-GTC-2-2	47	211	47	0.817829457
.	.	+	tRNA	tRNA-Asp-GTC-2-2	48	227	36	0.863117871
.	.	+	tRNA	tRNA-Asp-GTC-2-3	38	51	8	0.86440678
.	.	+	tRNA	tRNA-Asp-GTC-2-3	47	210	36	0.853658537
.	.	+	tRNA	tRNA-Asp-GTC-2-3	48	211	38	0.847389558
.	.	+	tRNA	tRNA-Asp-GTC-2-4	38	70	18	0.795454545
.	.	+	tRNA	tRNA-Asp-GTC-2-4	47	224	46	0.82962963
.	.	+	tRNA	tRNA-Asp-GTC-2-4	48	236	37	0.864468864
.	.	+	tRNA	tRNA-Asp-GTC-2-5	38	54	13	0.805970149
.	.	+	tRNA	tRNA-Asp-GTC-2-5	47	202	37	0.845188285
.	.	+	tRNA	tRNA-Asp-GTC-2-5	48	214	33	0.866396761
.	.	+	tRNA	tRNA-Asp-GTC-2-6	38	54	17	0.76056338
.	.	+	tRNA	tRNA-Asp-GTC-2-6	47	216	46	0.824427481
.	.	+	tRNA	tRNA-Asp-GTC-2-6	48	223	43	0.838345865
.	.	+	tRNA	tRNA-Asp-GTC-2-7	38	54	14	0.794117647
.	.	+	tRNA	tRNA-Asp-GTC-2-7	47	195	47	0.805785124
.	.	+	tRNA	tRNA-Asp-GTC-2-7	48	215	30	0.87755102
.	.	+	tRNA	tRNA-Asp-GTC-2-8	38	57	15	0.791666667
.	.	+	tRNA	tRNA-Asp-GTC-2-8	47	207	45	0.821428571
.	.	+	tRNA	tRNA-Asp-GTC-2-8	48	216	43	0.833976834
.	.	+	tRNA	tRNA-Asp-GTC-2-9	38	54	12	0.818181818
.	.	+	tRNA	tRNA-Asp-GTC-2-9	47	207	47	0.81496063
.	.	+	tRNA	tRNA-Asp-GTC-2-9	48	221	35	0.86328125
.	.	+	tRNA	tRNA-Asp-GTC-3-1	38	46	12	0.793103448
.	.	+	tRNA	tRNA-Asp-GTC-3-1	47	213	35	0.858870968
.	.	+	tRNA	tRNA-Asp-GTC-3-1	48	224	31	0.878431373
.	.	+	tRNA	tRNA-Glu-CTC-1-1	47	34	149	0.18579235
.	.	+	tRNA	tRNA-Glu-CTC-1-1	48	117	64	0.64640884
.	.	+	tRNA	tRNA-Glu-CTC-1-1	49	133	49	0.730769231
.	.	+	tRNA	tRNA-Glu-CTC-1-2	47	32	140	0.186046512
.	.	+	tRNA	tRNA-Glu-CTC-1-2	48	116	52	0.69047619
.	.	+	tRNA	tRNA-Glu-CTC-1-2	49	131	35	0.789156627
.	.	+	tRNA	tRNA-Glu-CTC-1-3	47	34	145	0.189944134
.	.	+	tRNA	tRNA-Glu-CTC-1-3	48	129	49	0.724719101
.	.	+	tRNA	tRNA-Glu-CTC-1-3	49	133	43	0.755681818
.	.	+	tRNA	tRNA-Glu-CTC-1-4	47	32	144	0.181818182
.	.	+	tRNA	tRNA-Glu-CTC-1-4	48	120	55	0.685714286
.	.	+	tRNA	tRNA-Glu-CTC-1-4	49	131	44	0.748571429
.	.	+	tRNA	tRNA-Glu-CTC-1-5	47	36	143	0.201117318
.	.	+	tRNA	tRNA-Glu-CTC-1-5	48	123	51	0.706896552
.	.	+	tRNA	tRNA-Glu-CTC-1-5	49	127	46	0.734104046
.	.	+	tRNA	tRNA-Glu-CTC-1-6	47	32	138	0.188235294
.	.	+	tRNA	tRNA-Glu-CTC-1-6	48	117	50	0.700598802
.	.	+	tRNA	tRNA-Glu-CTC-1-6	49	128	38	0.771084337
.	.	+	tRNA	tRNA-Glu-CTC-1-7	47	39	134	0.225433526
.	.	+	tRNA	tRNA-Glu-CTC-1-7	48	118	53	0.69005848
.	.	+	tRNA	tRNA-Glu-CTC-1-7	49	129	39	0.767857143
.	.	+	tRNA	tRNA-Glu-CTC-2-1	47	24	89	0.212389381
.	.	+	tRNA	tRNA-Glu-CTC-2-1	48	69	42	0.621621622
.	.	+	tRNA	tRNA-Glu-CTC-2-1	49	76	35	0.684684685
.	.	+	tRNA	tRNA-Glu-TTC-1-1	48	7	1	0.875
.	.	+	tRNA	tRNA-Glu-TTC-1-1	49	8	0	1
.	.	+	tRNA	tRNA-Glu-TTC-1-2	48	7	1	0.875
.	.	+	tRNA	tRNA-Glu-TTC-1-2	49	8	0	1
.	.	+	tRNA	tRNA-Glu-TTC-14-1	47	38	134	0.220930233
.	.	+	tRNA	tRNA-Glu-TTC-14-1	48	119	51	0.7
.	.	+	tRNA	tRNA-Glu-TTC-14-1	49	133	35	0.791666667
.	.	+	tRNA	tRNA-Glu-TTC-2-1	48	12	1	0.923076923
.	.	+	tRNA	tRNA-Glu-TTC-2-1	49	12	1	0.923076923
.	.	+	tRNA	tRNA-Glu-TTC-2-2	48	12	2	0.857142857
.	.	+	tRNA	tRNA-Glu-TTC-2-2	49	12	2	0.857142857
.	.	+	tRNA	tRNA-Glu-TTC-3-1	47	33	133	0.198795181
.	.	+	tRNA	tRNA-Glu-TTC-3-1	48	111	53	0.676829268
.	.	+	tRNA	tRNA-Glu-TTC-3-1	49	125	36	0.776397516
.	.	+	tRNA	tRNA-Glu-TTC-4-1	47	39	133	0.226744186
.	.	+	tRNA	tRNA-Glu-TTC-4-1	48	121	47	0.720238095
.	.	+	tRNA	tRNA-Glu-TTC-4-1	49	130	36	0.78313253
.	.	+	tRNA	tRNA-Glu-TTC-4-2	47	36	121	0.229299363
.	.	+	tRNA	tRNA-Glu-TTC-4-2	48	110	45	0.709677419
.	.	+	tRNA	tRNA-Glu-TTC-4-2	49	121	33	0.785714286
.	.	+	tRNA	tRNA-Gly-CCC-1-1	46	16	381	0.040302267
.	.	+	tRNA	tRNA-Gly-CCC-1-1	47	63	319	0.164921466
.	.	+	tRNA	tRNA-Gly-CCC-1-1	48	55	312	0.14986376
.	.	+	tRNA	tRNA-Gly-CCC-1-2	46	16	381	0.040302267
.	.	+	tRNA	tRNA-Gly-CCC-1-2	47	63	319	0.164921466
.	.	+	tRNA	tRNA-Gly-CCC-1-2	48	55	312	0.14986376
.	.	+	tRNA	tRNA-Gly-CCC-2-1	47	9	9	0.5
.	.	+	tRNA	tRNA-Gly-CCC-2-1	48	10	5	0.666666667
.	.	+	tRNA	tRNA-Gly-CCC-2-2	47	9	9	0.5
.	.	+	tRNA	tRNA-Gly-CCC-2-2	48	10	5	0.666666667
.	.	+	tRNA	tRNA-Gly-GCC-1-1	37	41	37	0.525641026
.	.	+	tRNA	tRNA-Gly-GCC-1-1	46	19	18	0.513513514
.	.	+	tRNA	tRNA-Gly-GCC-1-1	47	13	21	0.382352941
.	.	+	tRNA	tRNA-Gly-GCC-1-1	48	11	23	0.323529412
.	.	+	tRNA	tRNA-Gly-GCC-1-2	37	40	38	0.512820513
.	.	+	tRNA	tRNA-Gly-GCC-1-2	46	19	22	0.463414634
.	.	+	tRNA	tRNA-Gly-GCC-1-2	47	12	27	0.307692308
.	.	+	tRNA	tRNA-Gly-GCC-1-2	48	13	25	0.342105263
.	.	+	tRNA	tRNA-Gly-GCC-1-3	37	46	33	0.582278481
.	.	+	tRNA	tRNA-Gly-GCC-1-3	46	16	20	0.444444444
.	.	+	tRNA	tRNA-Gly-GCC-1-3	47	12	23	0.342857143
.	.	+	tRNA	tRNA-Gly-GCC-1-3	48	10	24	0.294117647
.	.	+	tRNA	tRNA-Gly-GCC-1-4	37	43	43	0.5
.	.	+	tRNA	tRNA-Gly-GCC-1-4	46	22	21	0.511627907
.	.	+	tRNA	tRNA-Gly-GCC-1-4	47	16	25	0.390243902
.	.	+	tRNA	tRNA-Gly-GCC-1-4	48	16	26	0.380952381
.	.	+	tRNA	tRNA-Gly-GCC-1-5	37	34	39	0.465753425
.	.	+	tRNA	tRNA-Gly-GCC-1-5	46	19	20	0.487179487
.	.	+	tRNA	tRNA-Gly-GCC-1-5	47	13	23	0.361111111
.	.	+	tRNA	tRNA-Gly-GCC-1-5	48	9	25	0.264705882
.	.	+	tRNA	tRNA-Gly-GCC-2-1	37	70	32	0.68627451
.	.	+	tRNA	tRNA-Gly-GCC-2-1	46	28	15	0.651162791
.	.	+	tRNA	tRNA-Gly-GCC-2-1	47	21	19	0.525
.	.	+	tRNA	tRNA-Gly-GCC-2-1	48	21	18	0.538461538
.	.	+	tRNA	tRNA-Gly-GCC-2-2	37	60	35	0.631578947
.	.	+	tRNA	tRNA-Gly-GCC-2-2	46	28	13	0.682926829
.	.	+	tRNA	tRNA-Gly-GCC-2-2	47	20	19	0.512820513
.	.	+	tRNA	tRNA-Gly-GCC-2-2	48	22	16	0.578947368
.	.	+	tRNA	tRNA-Gly-GCC-2-3	37	63	27	0.7
.	.	+	tRNA	tRNA-Gly-GCC-2-3	46	24	12	0.666666667
.	.	+	tRNA	tRNA-Gly-GCC-2-3	47	21	14	0.6
.	.	+	tRNA	tRNA-Gly-GCC-2-3	48	21	11	0.65625
.	.	+	tRNA	tRNA-Gly-GCC-2-4	37	64	32	0.666666667
.	.	+	tRNA	tRNA-Gly-GCC-2-4	46	22	14	0.611111111
.	.	+	tRNA	tRNA-Gly-GCC-2-4	47	22	12	0.647058824
.	.	+	tRNA	tRNA-Gly-GCC-2-4	48	21	13	0.617647059
.	.	+	tRNA	tRNA-Gly-GCC-2-5	37	57	36	0.612903226
.	.	+	tRNA	tRNA-Gly-GCC-2-5	46	29	16	0.644444444
.	.	+	tRNA	tRNA-Gly-GCC-2-5	47	28	14	0.666666667
.	.	+	tRNA	tRNA-Gly-GCC-2-5	48	26	13	0.666666667
.	.	+	tRNA	tRNA-Gly-GCC-2-6	37	59	34	0.634408602
.	.	+	tRNA	tRNA-Gly-GCC-2-6	46	29	18	0.617021277
.	.	+	tRNA	tRNA-Gly-GCC-2-6	47	24	19	0.558139535
.	.	+	tRNA	tRNA-Gly-GCC-2-6	48	23	16	0.58974359
.	.	+	tRNA	tRNA-Gly-GCC-3-1	37	58	34	0.630434783
.	.	+	tRNA	tRNA-Gly-GCC-3-1	46	23	10	0.696969697
.	.	+	tRNA	tRNA-Gly-GCC-3-1	47	16	17	0.484848485
.	.	+	tRNA	tRNA-Gly-GCC-3-1	48	17	13	0.566666667
.	.	+	tRNA	tRNA-Gly-GCC-4-1	37	8	4	0.666666667
.	.	+	tRNA	tRNA-Gly-TCC-1-1	47	39	40	0.493670886
.	.	+	tRNA	tRNA-Gly-TCC-1-1	48	49	31	0.6125
.	.	+	tRNA	tRNA-Gly-TCC-1-1	49	38	42	0.475
.	.	+	tRNA	tRNA-Gly-TCC-2-1	47	82	48	0.630769231
.	.	+	tRNA	tRNA-Gly-TCC-2-1	48	83	44	0.653543307
.	.	+	tRNA	tRNA-Gly-TCC-2-1	49	69	57	0.547619048
.	.	+	tRNA	tRNA-Gly-TCC-2-2	47	79	42	0.652892562
.	.	+	tRNA	tRNA-Gly-TCC-2-2	48	81	39	0.675
.	.	+	tRNA	tRNA-Gly-TCC-2-2	49	70	48	0.593220339
.	.	+	tRNA	tRNA-Gly-TCC-2-3	47	82	51	0.616541353
.	.	+	tRNA	tRNA-Gly-TCC-2-3	48	82	49	0.625954198
.	.	+	tRNA	tRNA-Gly-TCC-2-3	49	73	56	0.565891473
.	.	+	tRNA	tRNA-Gly-TCC-2-4	47	75	47	0.614754098
.	.	+	tRNA	tRNA-Gly-TCC-2-4	48	74	48	0.606557377
.	.	+	tRNA	tRNA-Gly-TCC-2-4	49	67	53	0.558333333
.	.	+	tRNA	tRNA-Gly-TCC-2-5	47	84	46	0.646153846
.	.	+	tRNA	tRNA-Gly-TCC-2-5	48	85	42	0.669291339
.	.	+	tRNA	tRNA-Gly-TCC-2-5	49	74	53	0.582677165
.	.	+	tRNA	tRNA-Gly-TCC-2-6	47	79	39	0.669491525
.	.	+	tRNA	tRNA-Gly-TCC-2-6	48	74	43	0.632478632
